,ID,X,Y,Speed,Acceleration
0,2,16.467,35.381,40,0
1,2,16.447,39.381,40,0
2,2,16.426,43.381,40,0
3,2,16.405,47.38,40,0
4,2,16.385,51.381,40,0
5,2,16.364,55.381,40,0
6,2,16.344,59.381,40,0
7,2,16.323,63.379,40.02,0.25
8,2,16.303,67.383,40.03,0.13
9,2,16.282,71.398,39.93,-1.63
10,2,16.262,75.401,39.61,-4.54
11,2,16.254,79.349,39.14,-5.73
12,2,16.221,83.233,38.61,-5.15
13,2,16.201,87.043,38.28,-1.61
14,2,16.169,90.829,38.42,3.73
15,2,16.204,94.683,38.78,4.86
16,2,16.252,98.611,38.92,0
17,2,16.339,102.56,38.54,-8.59
18,2,16.4,106.385,37.51,-11.2
19,2,16.43,110.079,36.34,-10.86
20,2,16.435,113.628,35.5,-6.2
21,2,16.478,117.118,35.08,-1.89
22,2,16.52,120.6,34.96,0.18
23,2,16.562,124.096,34.98,0.25
24,2,16.605,127.597,35,0.04
25,2,16.647,131.099,34.99,-0.2
26,2,16.691,134.595,34.98,-0.02
27,2,16.727,138.081,35.1,1.95
28,2,16.796,141.578,35.49,5.55
29,2,16.795,145.131,36.2,8.99
30,2,16.724,148.784,37.15,10.44
31,2,16.588,152.559,38.12,9.3
32,2,16.376,156.449,38.76,4.36
33,2,16.064,160.379,38.95,-0.73
34,2,15.763,164.277,38.95,-1.15
35,2,15.471,168.15,38.99,1.9
36,2,15.226,172.044,39.18,3.47
37,2,14.979,176,39.34,0.02
38,2,14.72,179.959,39.2,-3.52
39,2,14.508,183.862,38.89,-3.28
40,2,14.331,187.716,38.73,-0.33
41,2,14.24,191.561,38.88,3.49
42,2,14.309,195.455,39.28,5
43,2,14.428,199.414,39.68,3.76
44,2,14.54,203.417,39.94,1.29
45,2,14.646,207.43,40.02,-0.22
46,2,14.751,211.431,40,-0.21
47,2,14.856,215.428,39.99,0
48,2,14.962,219.427,39.99,0
49,2,15.067,223.462,39.65,-5.35
50,2,15.172,227.422,38.92,-9.43
51,2,15.277,231.231,38.52,-2.79
52,2,15.449,235.001,38.8,8.59
53,2,15.64,238.909,39.72,11.2
54,2,15.807,242.958,40.76,7.11
55,2,15.907,247.137,41.07,-2.06
56,2,16.075,251.247,40.8,-3.98
57,2,16.266,255.292,40.59,-1.24
58,2,16.549,259.31,40.75,4.24
59,2,16.72,263.372,41.38,9.03
60,2,16.818,267.54,42.37,11.08
61,2,16.862,271.842,43.37,9.57
62,2,16.846,276.256,44.06,4.97
63,2,16.82,280.724,44.29,-0.65
64,2,16.777,285.172,44.13,-3.5
65,2,16.601,289.558,43.9,-1.76
66,2,16.381,293.914,43.92,2.12
67,2,16.205,298.301,44.21,4.33
68,2,16.156,302.746,44.59,3.77
69,2,16.17,307.236,44.87,1.79
70,2,16.159,311.743,44.99,0.32
71,2,16.149,316.247,45.01,-0.04
72,2,16.139,320.748,45.01,-0.03
73,2,16.129,325.248,45,-0.03
74,2,16.118,329.748,45,0
75,2,16.107,334.248,45,0
76,2,16.096,338.771,44.79,-3.32
77,2,16.086,343.249,44.32,-6.22
78,2,16.076,347.633,43.98,-3
79,2,16.085,351.981,43.97,2.95
80,2,16.182,356.366,44.29,5.93
81,2,16.278,360.839,44.76,3.22
82,2,16.374,365.347,45.06,1.56
83,2,16.47,369.842,45.36,4.39
84,2,16.552,374.381,45.92,7.14
85,2,16.651,379.01,46.6,6.98
86,2,16.768,383.731,47.05,2.83
87,2,16.87,388.486,47.05,-2.84
88,2,16.987,393.207,46.6,-6.98
89,2,17.085,397.835,45.92,-7.14
90,2,17.167,402.374,45.36,-4.38
91,2,17.263,406.869,45.06,-1.55
92,2,17.359,411.355,44.96,0.09
93,2,17.456,415.85,44.97,0.24
94,2,17.552,420.35,44.99,0
95,2,17.648,424.849,44.99,0
96,2,17.745,429.348,44.99,0
97,2,17.841,433.847,44.99,0
98,2,17.937,438.344,45.01,0.25
99,2,18.034,442.847,45.02,0.11
100,2,18.13,447.363,44.9,-2.01
101,2,18.227,451.87,44.46,-6.26
102,2,18.363,456.317,43.62,-10.97
103,2,18.479,460.62,42.47,-11.2
104,2,18.559,464.803,41.41,-9.58
105,2,18.642,468.862,40.72,-4.34
106,2,18.632,472.879,40.49,0.29
107,2,18.552,476.914,40.6,2.31
108,2,18.384,480.991,40.76,1.38
109,2,18.148,485.093,40.72,-1.72
110,2,17.936,489.167,40.5,-3.29
111,2,17.723,493.186,40.38,-0.46
112,2,17.572,497.205,40.43,2.24
113,2,17.421,501.276,40.38,-1.13
114,2,17.29,505.364,39.83,-9.79
115,2,17.225,509.286,38.59,-11.2
116,2,17.144,513.068,37.02,-11.2
117,2,17.07,516.71,35.73,-10.36
118,2,17.08,520.185,35.04,-3.45
119,2,17.217,523.642,34.85,0.67
120,2,17.352,527.124,34.91,1.18
121,2,17.479,530.629,34.99,0.09
122,2,17.606,534.131,34.99,-0.23
123,2,17.734,537.628,34.97,-0.05
124,2,17.86,541.125,34.96,-0.1
125,2,17.988,544.619,34.98,0.24
126,2,18.119,548.11,35.07,1.46
127,2,18.246,551.616,35.29,2.86
128,2,18.356,555.159,35.54,2.64
129,2,18.468,558.739,35.67,0.42
130,2,18.518,562.322,35.63,-1.59
131,2,18.474,565.876,35.53,-1.06
132,2,18.397,569.41,35.53,1.08
133,2,18.363,572.964,35.63,1.61
134,2,18.414,576.547,35.68,-0.39
135,2,18.471,580.128,35.55,-2.59
136,2,18.455,583.674,35.28,-3.06
137,2,18.4,587.178,35.06,-1.52
138,2,18.339,590.654,35.09,1.8
139,2,18.285,594.145,35.49,5.97
140,2,18.189,597.703,36.22,9.1
141,2,18.135,601.369,37.08,8.86
142,2,18.115,605.141,37.8,5.85
143,2,18.055,608.965,38.3,3.7
144,2,17.996,612.813,38.73,4.14
145,2,17.92,616.7,39.18,5.22
146,2,17.876,620.649,39.62,4.25
147,2,17.813,624.658,39.83,0.29
148,2,17.751,628.662,39.73,-2.71
149,2,17.689,632.617,39.58,-1.51
150,2,17.66,636.551,39.57,1.28
151,2,17.635,640.502,39.71,2.64
152,2,17.609,644.493,39.91,1.4
153,2,17.584,648.502,40,0
154,2,17.559,652.503,39.98,-0.25
155,2,17.534,656.499,39.97,-0.06
156,2,17.508,660.485,40.08,1.69
157,2,17.484,664.485,40.38,4.22
158,2,17.441,668.536,40.81,5.21
159,2,17.432,672.648,41.27,4.17
160,2,17.406,676.799,41.69,3.72
161,2,17.38,680.974,42.2,5.84
162,2,17.314,685.203,42.92,8.82
163,2,17.284,689.536,43.77,9.03
